HarvestYear,ID2,Latitude,Longitude,SampleID,Crop,GrainYieldDryPerArea,BiomassDryPerArea,GrainMoisture,GrainYield125PerArea,CropExists,Comments
2017,1,46.77872900102268,-117.08751399999728,CE1_Bio_SW_2017_5-A,SW,256.43864829396324,491.5928477690289,3.0,268.22650098425197,1.0,
2017,2,46.778691632030224,-117.08706455043719,CE2_Bio_SW_2017_6-A,SW,386.44192913385825,799.5816929133858,3.8,403.5683645013123,1.0,
2017,3,46.77879100102537,-117.08667800000025,CE3_Bio_SW_2017_7-A,SW,318.77460629921256,579.7654199475065,4.4,334.39890912073486,1.0,
2017,4,46.778761001018935,-117.08626000000152,CE4_Bio_SW_2017_8-A,SW,318.77460629921256,668.3480971128608,1.2,334.2560285433071,1.0,
2017,5,46.77866600102665,-117.08584199999783,CE5_Bio_SW_2017_9-A,SW,303.60072178477685,633.899278215223,2.8,317.3040108267717,1.0,
2017,6,46.77877321025278,-117.08541874519892,CE6_Bio_SW_2017_10-A,SW,273.2529527559055,544.4963910761155,3.3,283.6136811023622,1.0,
2017,7,46.77863200102642,-117.08500599999726,CE7_Bio_SW_2017_11-A,SW,353.22342519685037,750.3690944881889,4.5,370.40846456692907,1.0,
2017,8,46.77872100102458,-117.08458800000076,CE8_Bio_SW_2017_12-A,SW,333.9484908136483,673.2693569553805,4.4,354.348466207349,1.0,
2017,9,46.778674001023624,-117.08416999999936,CE9_Bio_SW_2017_13-A,SW,290.887467191601,580.9957349081365,4.0,304.9337680446194,1.0,
2017,10,46.778737001021355,-117.08375199999682,CE10_Bio_SW_2017_14-A,SW,217.88877952755902,432.53772965879267,1.9,230.09916338582676,1.0,
2017,11,46.7786580010233,-117.08333399999913,CE11_Bio_SW_2017_15-A,SW,298.6794619422572,597.8100393700787,4.2,315.0311269685039,1.0,
2017,12,46.77873107677735,-117.08293983817022,CE12_Bio_SW_2017_16-A,SW,327.386811023622,649.8933727034121,2.5,339.8252952755905,1.0,
2017,13,46.77876400102563,-117.08249800000463,CE13_Bio_SW_2017_17-A,SW,327.79691601049865,689.2634514435696,4.0,346.31541174540683,1.0,
2017,14,46.77868863599479,-117.0816321595189,CE14_Bio_SW_2017_19-A,SW,,,,,0.0,"No crop at this location, sample not taken."
2017,15,46.77870700102554,-117.08124400000453,CE15_Bio_SW_2017_20-A,SW,306.0613517060367,609.2929790026246,3.6,314.5434301181102,1.0,
2017,16,46.778826001025564,-117.08040800000407,CE16_Bio_SW_2017_22-A,SW,334.76870078740154,699.1059711286089,4.0,352.0999425853018,1.0,1978 g Total biomass found in 9-22-2017 DET
2017,17,46.77879700102244,-117.07998999999907,CE17_Bio_SW_2017_23-A,SW,245.36581364829394,549.0075459317585,4.0,257.76759350393695,1.0,
2017,18,46.7789517373865,-117.08888011980027,CE18_Bio_SW_2017_1-B,SW,423.7614829396325,878.7319553805773,4.9,441.8466207349081,1.0,
2017,19,46.77882662026398,-117.08846626321277,CE19_Bio_SW_2017_2-B,SW,211.73720472440942,495.28379265091866,4.4,222.2380659448819,1.0,
2017,20,46.778867001026,-117.08806400000168,CE20_Bio_SW_2017_3-B,SW,202.71489501312337,387.4261811023622,2.6,209.71321358267716,1.0,
2017,21,46.77884200102199,-117.08764599999786,CE21_Bio_SW_2017_4-B,SW,365.5265748031496,686.8028215223097,3.7,403.4934383202099,1.0,
2017,22,46.779015001024526,-117.08722800000714,CE22_Bio_SW_2017_5-B,SW,334.3585958005249,678.6007217847769,1.1,348.2620570866141,1.0,
2017,23,46.77900277981173,-117.08683096836735,CE23_Bio_SW_2017_6-B,SW,300.31988188976374,592.888779527559,4.6,304.57500820209975,1.0,
2017,24,46.77907700102243,-117.08639199999817,CE24_Bio_SW_2017_7-B,SW,361.01541994750653,683.11187664042,3.7,375.82939632545924,1.0,
2017,25,46.77904700102568,-117.08597400000161,CE25_Bio_SW_2017_8-B,SW,348.30216535433067,729.8638451443569,4.6,363.42794455380573,1.0,
2017,26,46.77895200101939,-117.08555600000317,CE26_Bio_SW_2017_9-B,SW,336.81922572178473,627.7477034120735,2.8,352.8449393044619,1.0,
2017,27,46.77906282015732,-117.08511703761309,CE27_Bio_SW_2017_10-B,SW,317.134186351706,660.9662073490814,5.1,333.9953248031496,1.0,
2017,28,46.778918001019214,-117.08472000000046,CE28_Bio_SW_2017_11-B,SW,276.5337926509186,517.0193569553805,4.4,292.2831774934383,1.0,
2017,29,46.77900700102105,-117.08430200000568,CE29_Bio_SW_2017_12-B,SW,240.8546587926509,470.6774934383202,4.6,254.1296341863517,1.0,
2017,30,46.77896000102163,-117.08388400000464,CE30_Bio_SW_2017_13-B,SW,263.82053805774274,551.4681758530184,3.6,279.2616879921259,1.0,
2017,31,46.77902300102438,-117.08346599999722,CE31_Bio_SW_2017_14-B,SW,303.19061679790025,607.2424540682415,3.8,319.3151656824147,1.0,
2017,32,46.7789440010205,-117.08304799999878,CE32_Bio_SW_2017_15-B,SW,277.7641076115485,561.7208005249344,2.2,293.2557824803149,1.0,
2017,33,46.77901300102674,-117.08263000000113,CE33_Bio_SW_2017_16-B,SW,224.86056430446192,476.0088582677165,4.1,238.41420603674538,1.0,"Test Weight needs to be corrected from 56,8 to 56.8"
2017,34,46.77905000102482,-117.08221199999544,CE34_Bio_SW_2017_17-B,SW,356.0941601049868,797.9412729658792,5.9,368.22990485564304,1.0,
2017,35,46.77885200102648,-117.08179400000633,CE35_Bio_SW_2017_18-B,SW,414.32906824146977,826.6486220472441,4.6,439.5385088582676,1.0,
2017,36,46.77900736612355,-117.08140584057901,CE36_Bio_SW_2017_19-B,SW,541.8717191601049,1074.7621391076113,3.3,567.5408464566929,1.0,
2017,37,46.77899300102514,-117.08095799999762,CE37_Bio_SW_2017_20-B,SW,253.1578083989501,585.0967847769028,2.8,267.8166420603674,1.0,
