HarvestYear,ID2,Latitude,Longitude,SampleID,Crop,GrainYieldDryPerArea,GrainYield125PerArea,BiomassDryPerArea,GrainTestWeight,GrainMoisture,GrainProtein,GrainStarch,GrainGluten,CropExists,Comments
2017,1,46.77872900102268,-117.08751399999728,CE1_Bio_SW_2017_5-A,SW,256.43864829396324,267.3079170767716,491.5928477690289,,3.0,11.7,69.1,19.7,1.0,
2017,2,46.778691632030224,-117.08706455043719,CE2_Bio_SW_2017_6-A,SW,386.44192913385825,401.8048412893701,799.5816929133858,812.5,3.8,12.8,69.2,21.2,1.0,
2017,3,46.77879100102537,-117.08667800000025,CE3_Bio_SW_2017_7-A,SW,318.77460629921256,332.6975270669291,579.7654199475065,,4.4,11.3,70.4,20.3,1.0,
2017,4,46.778761001018935,-117.08626000000152,CE4_Bio_SW_2017_8-A,SW,318.77460629921256,333.80554872047236,668.3480971128608,,1.2,12.5,68.8,19.4,1.0,
2017,5,46.77866600102665,-117.08584199999783,CE5_Bio_SW_2017_9-A,SW,303.60072178477685,316.2916461614173,633.899278215223,,2.8,12.4,68.9,20.2,1.0,
2017,6,46.77877321025278,-117.08541874519892,CE6_Bio_SW_2017_10-A,SW,273.2529527559055,282.54233821358264,544.4963910761155,,3.3,11.7,69.8,19.8,1.0,
2017,7,46.77863200102642,-117.08500599999726,CE7_Bio_SW_2017_11-A,SW,353.22342519685037,368.47925381397636,750.3690944881889,,4.5,12.1,72.0,21.6,1.0,
2017,8,46.77872100102458,-117.08458800000076,CE8_Bio_SW_2017_12-A,SW,333.9484908136483,352.54558316929126,673.2693569553805,,4.4,11.3,75.5,20.4,1.0,
2017,9,46.778674001023624,-117.08416999999936,CE9_Bio_SW_2017_13-A,SW,290.887467191601,303.5285433070866,580.9957349081365,,4.0,12.4,71.0,20.8,1.0,
2017,10,46.778737001021355,-117.08375199999682,CE10_Bio_SW_2017_14-A,SW,217.88877952755902,229.60505351870074,432.53772965879267,,1.9,13.5,68.9,20.2,1.0,
2017,11,46.7786580010233,-117.08333399999913,CE11_Bio_SW_2017_15-A,SW,298.6794619422572,313.503967765748,597.8100393700787,,4.2,12.0,72.5,20.8,1.0,
2017,12,46.77873107677735,-117.08293983817022,CE12_Bio_SW_2017_16-A,SW,327.386811023622,338.85988250492125,649.8933727034121,,2.5,12.6,69.1,19.7,1.0,
2017,13,46.77876400102563,-117.08249800000463,CE13_Bio_SW_2017_17-A,SW,327.79691601049865,344.71948818897636,689.2634514435696,,4.0,12.0,71.7,20.3,1.0,
2017,14,46.77868863599479,-117.0816321595189,CE14_Bio_SW_2017_19-A,SW,,,,,,,,,0.0,"No crop at this location, sample not taken."
2017,15,46.77870700102554,-117.08124400000453,CE15_Bio_SW_2017_20-A,SW,306.0613517060367,313.24366387795277,609.2929790026246,,3.6,9.6,70.5,19.1,1.0,
2017,16,46.778826001025564,-117.08040800000407,CE16_Bio_SW_2017_22-A,SW,334.76870078740154,350.4773622047244,699.1059711286089,,4.0,10.0,71.5,19.4,1.0,1978 g Total biomass found in 9-22-2017 DET
2017,17,46.77879700102244,-117.07998999999907,CE17_Bio_SW_2017_23-A,SW,245.36581364829394,256.5797244094488,549.0075459317585,,4.0,10.1,72.4,19.5,1.0,
2017,18,46.7789517373865,-117.08888011980027,CE18_Bio_SW_2017_1-B,SW,423.7614829396325,439.3314622293306,878.7319553805773,858.1,4.9,11.7,72.5,23.8,1.0,
2017,19,46.77882662026398,-117.08846626321277,CE19_Bio_SW_2017_2-B,SW,211.73720472440942,221.10734498031493,495.28379265091866,,4.4,13.0,68.2,22.7,1.0,
2017,20,46.778867001026,-117.08806400000168,CE20_Bio_SW_2017_3-B,SW,202.71489501312337,209.09304256889763,387.4261811023622,,2.6,10.6,69.1,19.0,1.0,
