HarvestYear,ID2,Latitude,Longitude,SampleID,Crop,GrainYieldDryPerArea,BiomassDryPerArea,Comments
1999,1,46.778729,-117.08751399999998,,SW,220.8366141732284,541.6054258429797,
1999,2,46.77869163,-117.08706455,,SW,242.73622047244092,634.2306507751563,
1999,3,46.778791,-117.086678,,SW,255.3444881889764,621.710360095175,
1999,4,46.778760999999996,-117.08626000000001,,SW,289.17814960629914,698.0685689567465,
1999,5,46.778665999999994,-117.085842,,SW,341.5206692913386,807.8407580620894,
1999,6,46.77877321,-117.08541875,,SW,256.9931102362205,615.0298170449282,
1999,7,46.778632,-117.085006,,SW,303.6220472440945,656.5447432803667,
1999,8,46.778721000000004,-117.08458799999998,,SW,183.4891732283465,490.22127348158523,
1999,9,46.778674,-117.08417,,SW,235.64960629921262,703.022129282712,
1999,10,46.778737,-117.083752,,SW,221.884842519685,571.7057036009958,
1999,11,46.778658,-117.08333400000001,,SW,240.81692913385825,582.7003327271007,
1999,12,46.77873108,-117.08293984,,SW,239.92125984251967,597.2821899014959,
1999,13,46.778764,-117.082498,,SW,252.08169291338584,600.2547443156684,
1999,14,46.77868863,-117.08163216,,SW,256.2795275590551,655.680917171939,
1999,15,46.778707,-117.081244,,SW,255.80708661417322,665.6020761827848,
1999,16,46.778826,-117.080408,,SW,332.78543307086613,805.1961856832581,
1999,17,46.778797,-117.07999,,SW,381.41732283464563,972.0438642965453,
1999,18,46.77895174,-117.08888012,,SW,275.9055118110236,656.8196740680727,
1999,19,46.77882662,-117.08846626,,SW,201.3927165354331,523.9730335306924,
1999,20,46.778867,-117.08806399999999,,SW,194.20275590551185,348.86873000507626,
1999,21,46.778842,-117.08764599999999,,SW,265.44783464566933,551.9507299023189,
1999,22,46.779015,-117.087228,,SW,162.46062992125985,414.67638691322907,
1999,23,46.77900278,-117.08683097,,SW,207.05708661417324,533.2472675101599,
1999,24,46.779077,-117.08639199999999,,SW,231.8307086614173,565.5036159192787,
1999,25,46.779047,-117.085974,,SW,316.751968503937,774.4923885673742,
1999,26,46.778952000000004,-117.08555600000001,,SW,336.003937007874,771.1056704420299,
